Thread_Level,N,seq_mean,seq_ci_low,seq_ci_high,par_mean,par_ci_low,par_ci_high,builtin_mean,builtin_ci_low,builtin_ci_high
1,10000000,1.4936977999999999,1.4347686457198185,1.5526269542801812,1.629095,1.4949833675077864,1.7632066324922135,4.165114000000001,4.0558958313686055,4.274332168631396
2,10000000,1.5081574,1.4193835027680124,1.5969312972319876,1.8243448,1.6604116463878384,1.9882779536121615,4.189956,4.083794138001514,4.296117861998485
4,10000000,1.5008012000000002,1.4592043795384455,1.5423980204615548,2.3338826,1.6868556325020951,2.9809095674979047,4.179431,4.116147281995386,4.242714718004614
6,10000000,1.5036712,1.470038236194289,1.5373041638057112,2.7607951999999996,2.3807000274947376,3.1408903725052615,4.1720084,4.117593323005388,4.226423476994612
8,10000000,1.4802408,1.4443481955117834,1.5161334044882167,2.6631744,2.360561077017313,2.965787722982687,4.170253600000001,4.050491967357518,4.290015232642483
10,10000000,1.4639583999999999,1.4286497514033838,1.499267048596616,2.7148145999999995,2.4339616307380565,2.9956675692619426,4.1770694,4.114171459615067,4.239967340384933
